year,recipient_name,purpose_code,climate_adaptation,usd_disbursement,usd_disbursement_deflated
2018,Timor-Leste,31182,2,0.003085,0.003394
2018,Vanuatu,41082,2,0.024011,0.026414
2018,Solomon Islands,41082,2,0.062692,0.060954
2018,"Oceania, regional",52010,2,0.096624,0.106297
2018,Sudan,41030,2,0,0
2018,Mauritania,43060,2,0.147527,0.144192
2018,Papua New Guinea,31182,2,0.003085,0.003394
2018,Ethiopia,43060,2,1.641994,1.99634
2018,Fiji,41082,2,0.026466,0.028606
2018,Chad,14020,2,0,0
2018,Timor-Leste,31120,2,5.747669,6.19756
2018,Belize,41030,2,0.867317,0.902716
2018,Sri Lanka,31182,2,0.003085,0.003394
2018,Myanmar,41030,2,0,0
2018,Myanmar,43060,2,0.425595,0.442328
2018,Kiribati,41082,2,0.024011,0.026414
2018,"Oceania, regional",12110,2,5.60245,6.16329
2018,Sri Lanka,32182,2,0.02241,0.024653
2018,Marshall Islands,41082,2,0.024011,0.026414
2018,Papua New Guinea,32182,2,0.02241,0.024653
2018,Palau,41082,2,0.024011,0.026414
2018,Sao Tome and Principe,43060,2,0,0
2018,Fiji,31182,2,0.003085,0.003394
2018,Timor-Leste,32182,2,0.02241,0.024653
2018,Cambodia,31320,2,0,0
2018,Pakistan,31182,2,0.003085,0.003394
2018,Indonesia,15111,2,2.698177,2.968281
2018,Indonesia,15142,2,8.980889,9.879932
2018,Indonesia,15114,2,1.355606,1.491311
2018,Chad,31130,2,0,0
2018,Samoa,41082,2,0.024011,0.026414
2018,Niue,41082,2,0.024011,0.026414
2018,Nauru,41082,2,0.024011,0.026414
2018,Cook Islands,41082,2,0.024011,0.026414
2018,Tonga,41082,2,0.024011,0.026414
2018,Papua New Guinea,41010,2,2.615456,2.812036
2018,Papua New Guinea,41082,2,0.024011,0.026414
2018,Micronesia,41082,2,0.024011,0.026414
2018,Solomon Islands,74020,2,0.823441,0.893812
2018,Democratic Republic of the Congo,43060,2,0,0
2018,Tuvalu,41082,2,0.024011,0.026414
2018,Fiji,32182,2,0.02241,0.024653
2018,Pakistan,32182,2,0.02241,0.024653
2018,Philippines,74020,2,1.089696,1.228443
2018,Tonga,74020,2,0.096534,0.106197
2018,Mozambique,43060,2,0.66588,0.693057
2018,Guinea-Bissau,43060,2,0,0
2018,Lao People's Democratic Republic,43060,2,0.840097,0.874385
2018,Rwanda,43060,2,0,0
2018,Bangladesh,14010,2,3.201607,3.30341
2018,Benin,14040,2,2.891824,2.940032
2018,"Caribbean & Central America, regional",23110,2,0.188245,0.191383
2018,Mali,31163,2,1.153665,1.172897
2018,Myanmar,31150,2,0.951357,0.967217
2018,Mozambique,14010,2,3.355428,3.457905
2018,Indonesia,43060,2,8.467129,8.801468
2018,Lebanon,14031,2,1.773086,1.802644
2018,"Caribbean & Central America, regional",25010,2,5.343573,5.432653
2018,Mali,52010,2,2.195064,2.231657
2018,Ghana,31162,2,4.811721,4.891934
2018,Lebanon,31110,2,3.05762,3.108592
2018,Senegal,31140,2,3.646879,3.703501
2018,"South of Sahara, regional",31161,2,13.060896,13.269523
2018,Ethiopia,43072,2,2.812337,3.460335
2018,Malawi,31181,2,0.898563,1.105604
2018,Democratic Republic of the Congo,43072,2,0.270134,0.332376
2018,Uganda,31130,2,0.170447,0.209721
2018,Nepal,43072,2,0.512619,0.630733
2018,Democratic Republic of the Congo,41081,2,0.123882,0.152426
2018,Mali,43040,2,1.370523,1.549538
2018,"South of Sahara, regional",43060,2,2.174303,2.297041
2018,Kenya,31382,2,0.304484,0.374642
2018,South Africa,31182,2,0,0
2018,"Africa, regional",43060,2,9.513127,11.037992
2018,Nigeria,31120,2,2.629183,3.224253
2018,Lao People's Democratic Republic,21010,2,0.597899,0.622302
2018,Guatemala,43072,2,0.690672,0.849812
2018,Madagascar,41020,2,0.633335,0.779263
2018,Nepal,25010,2,1.6e-05,2e-05
2018,"Africa, regional",31110,2,0.83279,0.948355
2018,Malawi,31166,2,4.315318,5.309623
2018,"South America, regional",23220,2,0,0
2018,Zambia,21010,2,0.689366,0.717502
2018,Uganda,31181,2,0.207855,0.255748
2018,Zambia,14010,2,8.916143,9.279556
2018,Angola,15150,2,0.07892,0.097104
2018,Nepal,43060,2,16.711272,17.502304
2018,Nepal,31120,2,0.913666,1.019443
2018,Viet Nam,11420,2,0.630268,0.683469
2018,"South of Sahara, regional",24030,2,12.09725,12.590987
2018,Pakistan,14030,2,0.07385,0.090866
2018,Malawi,43072,2,0.574809,0.707252
2018,Bhutan,41081,2,0,0
2018,Burundi,31120,2,0.307789,0.378707
2018,Ethiopia,41081,2,0.113646,0.136298
2018,Zimbabwe,31110,2,0.065057,0.080046
2018,Mozambique,31166,2,1.106358,1.361277
2018,Guatemala,15150,2,0.052613,0.064736
2018,Pakistan,14015,2,0.813234,0.843437
2018,Somalia,43072,2,0.887784,1.092341
2018,Uganda,41081,2,0.114601,0.137971
2018,Bolivia,41081,2,0.0268,0.032975
2018,Zambia,31181,2,0.134717,0.165758
2018,Tanzania,31110,2,0.124366,0.147788
2018,Nepal,41081,2,0,0
2018,Angola,43060,2,0.111804,0.137565
2018,Ethiopia,31140,2,0.046037,0.056644
2018,Niger,43072,2,0.934258,1.149523
2018,Ethiopia,43040,2,8.620769,10.307138
2018,Cameroon,41081,2,0.066284,0.081557
2018,Ethiopia,31166,2,0.087485,0.107643
2018,Nepal,15150,2,0.203062,0.24985
2018,Ethiopia,31163,2,2.827152,3.249375
2018,Niger,43060,2,6.224828,6.711005
2018,Mali,31182,2,3.250303,3.941353
2018,Bangladesh,25010,2,1.6e-05,2e-05
2018,Tanzania,31130,2,0.16809,0.206821
2018,Tanzania,11420,2,0.306398,0.376996
2018,Ethiopia,41082,2,0.00509,0.00485
2018,China (People's Republic of),41010,2,1.199578,1.27821
2018,Myanmar,23230,2,0,0
2018,Ethiopia,11420,2,1.293802,1.518304
2018,Mozambique,43072,2,0.076252,0.093821
2018,"South America, regional",31194,2,0.018006,0.017819
2018,Mali,74020,2,0,0
2018,Bangladesh,41081,2,0,0
2018,India,25010,2,1.6e-05,2e-05
2018,Kenya,31130,2,1.451525,1.506531
2018,"Bilateral, unspecified",32120,2,0.531099,0.552775
2018,Ethiopia,24040,2,0.440978,0.542585
2018,Mali,41081,2,0.310308,0.381807
2018,Uganda,11420,2,1.028426,1.265389
2018,Madagascar,41081,2,0.064892,0.077993
2018,"South of Sahara, regional",43072,2,0.389807,0.479623
2018,Angola,14015,2,0.124957,0.153749
2018,Niger,31182,2,1.229287,1.51253
2018,Niger,41081,2,0.25514,0.289827
2018,Mali,43010,2,4.711606,5.793165
2018,Haiti,43060,2,1.864076,2.123118
2018,Benin,74020,2,0,0
2018,Senegal,74020,2,0,0
2018,"South of Sahara, regional",74020,2,11.831814,11.730593
2018,Kenya,43030,2,0.265549,0.276388
2018,Mozambique,14015,2,1.356707,1.389965
2018,Senegal,43060,2,1.707896,1.752553
2018,Cambodia,21010,2,0.091467,0.0952
2018,Nepal,14015,2,6.229457,6.482701
2018,Nicaragua,21020,2,1.375428,1.431565
